epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1158,1.37927,1.73491,1.45605,0.70857,0.5426,0.66357,0.36893,1.51018,1.7302,1.54359,0.000413625,0.000413625,0.000413625
2,151.672,1.36194,1.19521,1.41397,0.56643,0.61399,0.59568,0.29085,1.70465,2.52534,1.65028,0.000822072,0.000822072,0.000822072
3,261.745,1.38661,1.19451,1.43532,0.80377,0.73965,0.82859,0.44525,1.51947,1.1791,1.53055,0.00122227,0.00122227,0.00122227
4,374.278,1.37056,1.116,1.41696,0.72636,0.69674,0.76917,0.44921,1.37004,1.17525,1.4348,0.00121287,0.00121287,0.00121287
5,449.94,1.31701,1.0628,1.39428,0.77895,0.72306,0.79687,0.45544,1.40641,1.09652,1.45074,0.0012005,0.0012005,0.0012005
6,613.203,1.28871,1.01002,1.37126,0.82048,0.81417,0.8749,0.52664,1.31526,0.96106,1.38161,0.00118812,0.00118812,0.00118812
7,711.441,1.27076,0.96528,1.3516,0.81663,0.79288,0.85651,0.53321,1.2583,0.97205,1.34775,0.00117575,0.00117575,0.00117575
8,851.281,1.24172,0.93753,1.34,0.8763,0.84216,0.90324,0.5489,1.30796,0.85644,1.36287,0.00116337,0.00116337,0.00116337
9,986.489,1.24105,0.90385,1.33829,0.8165,0.80504,0.84928,0.54417,1.25249,0.9024,1.34664,0.001151,0.001151,0.001151
10,1042.88,1.21739,0.88909,1.32337,0.81184,0.82632,0.88561,0.55644,1.24441,0.87614,1.32994,0.00113863,0.00113863,0.00113863
11,1133.2,1.18357,0.84906,1.3,0.8759,0.82221,0.8996,0.57511,1.2603,0.80239,1.32831,0.00112625,0.00112625,0.00112625
12,1282.49,1.18905,0.83812,1.30837,0.86498,0.86392,0.91251,0.59457,1.25663,0.80756,1.33951,0.00111388,0.00111388,0.00111388
13,1377.15,1.18824,0.8242,1.29966,0.88729,0.83804,0.91133,0.58778,1.23548,0.77922,1.32416,0.0011015,0.0011015,0.0011015
14,1596.23,1.174,0.80474,1.28065,0.87508,0.87199,0.91249,0.56031,1.3555,0.79915,1.40864,0.00108913,0.00108913,0.00108913
15,1677.6,1.14668,0.79454,1.28246,0.88364,0.89474,0.92743,0.60319,1.20456,0.74705,1.30293,0.00107675,0.00107675,0.00107675
16,1847.96,1.12473,0.77607,1.26055,0.87413,0.83741,0.91544,0.58224,1.21303,0.76034,1.30165,0.00106437,0.00106437,0.00106437
17,1954.2,1.13331,0.75412,1.24593,0.91627,0.87082,0.93296,0.61646,1.19708,0.71709,1.3023,0.001052,0.001052,0.001052
